School,Rank,USNWR Ranking Research,USNWR Primary Care Ranking,Applications,Interviews,Percent_interviewed,Admits,Percent_admitted_post_II,MCAT,GPA,AOA,AOA_before_match,Internal_rank,PC_grades,PC_length,Clerkship_grades,NBME_or_in_house,MSPE_adj,Lecture_attendance,Home_hospital,Apps IS,IS II,IS Accepted,IS enrolled,Apps OOS,OOS II,OOS Accepted,OOS enrolled,Total apps,TOTAL II,total accepted,Total enrolled,post II % A,IS % post II-A,OOS % post II-A,A % rate,Step 1,Step 1 % pass,step 2,step 2 pass,OOS II/OOS applicants,Public/Private,OOS/IS matriculants,Median MCAT,Median GPA,class size,% of students OOS,apply OOS to public state school?,IS_A,OOS_A,IS_A/OOS_A,State
University of New England,144.0,,,"4,048",589,15%,330,56%,505.0,3.61,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of South Alabama,145.0,,,"1,800",197,11%,,-,508.0,3.89,Yes,Yes,Yes,H/P/F,2 Years,H/P/F,Both,Yes,Optional,"USA Health University Hospital, USA Health Children's and Women's Hospital, USA Health Providence Hospital, USA Health Mitchell Cancer Institute, and USA Health clinic network.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUNY School of Medicine,146.0,,,980,341,35%,175,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Tech (El Paso),147.0,,,"4,800",612,13%,,-,514.0,3.93,Yes,Yes,Yes,P/F,1.5 Years,H/P/F,Both,Yes,Optional,University Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meharry Medical College,148.0,,,"8,084",302,4%,,-,504.0,3.58,,,,,1.5 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City Biosciences,149.0,,,,,-,,-,505.0,3.62,,,,,1.5 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des Moines University,150.0,,,,,-,,-,507.0,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCOM,151.0,,,,,-,548,-,505.0,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinnipiac University,152.0,93-123,93-123,"7,430",362,5%,317,88%,513.0,3.78,No,No,No,P/F,2 Years,H/HP/P/F,Both,Yes,Optional,,385.0,118.0,84.0,39.0,6833.0,287.0,213.0,56.0,7704.0,343.0,296.0,95.0,86.3,85.51,86.5,3.84%,231.0,98%,246.0,100%,3.77,Private,59%,514.0,3.71,94.0,60.20%,,21.818181818181817,3.1172252304990486,6.999231754161332,CT
University of Puerto Rico,153.0,,,729,180,25%,,-,504.0,3.9,,,,,1.5 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland University,154.0,,,"7,726",500,6%,,-,511.0,3.91,Yes,Yes,Yes,H/P/F,2 Years,H/HP/P/F,In-House Exams,Yes,Optional,"Corewell in Royal Oak, Corewell Troy, Corewell Grosse Pointe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCOM,155.0,,,,,-,,-,507.0,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYIT-COM,156.0,,,,,-,,-,505.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington State (Floyd),157.0,,,"1,443",304,21%,,-,509.0,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Michigan,158.0,,,"4,301",460,11%,,-,513.0,3.83,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,In-House Exams,Yes,Required,Ascension Borgess and Bronson Methodist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Michigan,159.0,,,"7,987",528,7%,,-,507.0,3.78,Yes,Yes,No,P/F,2 Years,H/P/F,NBME Based,No,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Rio Grande Valley,160.0,,,"4,729",510,11%,,-,507.0,3.79,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,In-House Exams,Yes,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCOM,161.0,,,"9,334","1,574",17%,"1,387",88%,502.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LECOM,162.0,,,"21,364","4,223",20%,"1,299",31%,505.0,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western University,163.0,,,"9,488","1,143",12%,830,73%,507.0,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowan COM,164.0,,,"6,145",536,9%,506,94%,507.0,3.65,,,,P/F,2 Years,,,,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Vista University,165.0,,,,,-,,-,504.0,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Christian University,166.0,,,"6,329",249,4%,120,48%,511.0,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touro University California,167.0,,,"5,448",526,10%,379,72%,507.0,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Northwest,168.0,,,"2,442",643,-,421,65%,504.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATSU (Mesa),169.0,,,,,-,,-,504.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponce Health Sciences,170.0,,,"1,612",295,18%,,-,499.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Memorial University,171.0,,,"5,347","1,016",19%,940,93%,500.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marian University,172.0,,,"5,702",552,10%,316,57%,504.0,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touro COM,173.0,,,,,-,,-,509.0,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHSU COM,174.0,,,"3,300",,-,,-,506.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Southeastern (Patel),175.0,,,"5,599","1,091",19%,817,75%,513.0,3.89,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,NBME Based,Yes,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCOM,176.0,,,,,-,,-,504.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carle Illinois,177.0,,,"2,923",,-,,-,515.0,3.83,Yes,Yes,No,S/SAR/US/W,1.5 Years,H/S/SAR/US/W,Both,Yes,Required,University of Illinois and Carle Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Pikeville,178.0,,,"3,429",466,14%,465,100%,502.0,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbell University,179.0,,,,,-,,-,507.0,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California University,180.0,,,"6,387",529,8%,244,46%,515.0,3.8,No,No,No,P/F,1.5 Years,H/HP/P/F,Both,Yes,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WCU COM,181.0,,,"3,657",741,20%,698,94%,504.0,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Juan Bautista,182.0,,,"1,242",194,16%,,-,499.0,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama COM,183.0,,,"4,429","1,026",-,205,20%,504.0,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Northstate,184.0,,,"4,710",550,12%,,-,514.0,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho COM,185.0,,,,,-,,-,507.0,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Central del Caribe,186.0,,,988,203,21%,,-,499.0,3.77,Yes,Yes,Yes,A/B/C/F,2 Years,A/B/C/F,Both,Yes,Required,HURRA Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrel COM,187.0,,,"5,036",,-,,-,501.0,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHSU COM,188.0,,,,,-,,-,506.0,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incarnate Word,189.0,,,,,-,,-,503.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Tyler,190.0,,,,,-,,-,505.0,3.84,Yes,Yes,No,P/F,1.5 Years,H/P/F,NBME Based,Yes,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas Health Science,191.0,,,,,-,,-,502.0,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATSU (Kirksville),192.0,,,,,-,,-,503.0,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noorda COM,193.0,,,,,-,,-,504.0,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
